RecordID,lpep_pickup_date,lpep_dropoff_date
39894,2023-02-19,2023-02-19
7156,2023-02-03,2023-02-03
41062,2023-02-19,2023-02-19
21265,2023-02-10,2023-02-10
25738,2023-02-12,2023-02-12
24193,2023-02-11,2023-02-11
7750,2023-02-04,2023-02-04
35067,2023-02-16,2023-02-16
50688,2023-02-24,2023-02-24
9542,2023-02-05,2023-02-05
40701,2023-02-19,2023-02-19
61695,2023-02-10,2023-02-10
39969,2023-02-19,2023-02-19
38425,2023-02-18,2023-02-18
25208,2023-02-12,2023-02-12
34525,2023-02-16,2023-02-16
22965,2023-02-11,2023-02-11
52300,2023-02-25,2023-02-25
17478,2023-02-09,2023-02-09
34988,2023-02-16,2023-02-16
55655,2023-02-26,2023-02-26
44670,2023-02-21,2023-02-21
8958,2023-02-05,2023-02-05
63975,2023-02-23,2023-02-23
4987,2023-02-03,2023-02-03
61500,2023-02-09,2023-02-09
61835,2023-02-10,2023-02-10
16873,2023-02-08,2023-02-08
2931,2023-02-02,2023-02-02
45329,2023-02-22,2023-02-22
57140,2023-02-27,2023-02-27
59513,2023-02-28,2023-02-28
42913,2023-02-21,2023-02-21
61173,2023-02-07,2023-02-07
23326,2023-02-11,2023-02-11
47739,2023-02-23,2023-02-23
25535,2023-02-12,2023-02-12
36642,2023-02-17,2023-02-17
61373,2023-02-08,2023-02-08
48553,2023-02-23,2023-02-23
6922,2023-02-03,2023-02-03
45812,2023-02-22,2023-02-22
48578,2023-02-23,2023-02-23
51825,2023-02-24,2023-02-24
32973,2023-02-16,2023-02-16
63646,2023-02-21,2023-02-21
38384,2023-02-18,2023-02-18
47616,2023-02-23,2023-02-23
30803,2023-02-15,2023-02-15
1638,2023-02-01,2023-02-01
60878,2023-02-05,2023-02-05
13276,2023-02-07,2023-02-07
35588,2023-02-17,2023-02-17
52692,2023-02-25,2023-02-25
26914,2023-02-13,2023-02-13
62933,2023-02-17,2023-02-17
27013,2023-02-13,2023-02-13
43589,2023-02-21,2023-02-21
56767,2023-02-27,2023-02-27
38611,2023-02-18,2023-02-18
